address,amount
0x002f8aE6A7E39fCDaCc863f58216e9148aE2366F,85000000000000000000
0x007Bcb97F1D486dA15f46Bb6A11DCDb3E26D0Eb0,39000000000000000000
0x00803fEb53D8a9c97d96336673D80b3bB344df41,43000000000000000000
0x009234C835E0d6015B8C1fFfE62Ce81D7eEb4e5B,15000000000000000000
0x0097E00493ecE7f6d18BFB86320440D9e29e1F45,50000000000000000000
0x00B3d3A5C78F89C43237c8e5e0Dedde400947f53,23000000000000000000
0x00B9e8a3Ae37FeA3FeAbFe5e2bF28217a6eC61f7,41000000000000000000
0x00d94dD6F1992BcEc9ecFD83227b1e57c6bfe94d,35000000000000000000
0x00E1c18c25a5bD539Ec81d97B672f0BCb4a3e3b9,39000000000000000000
0x00E2C2DbB40F154E0Fa7C7Cb35B7e4c2cFf38125,12000000000000000000
0x00E84DB35ACF4440FBBEC51Ef5dFEEb9f0042b12,45000000000000000000
0x00EA3aAdFA828cB8A8dC98AeC40b2F7Aa43A86D5,33000000000000000000
0x00F3aef9Ac17A100dBAED84BB4fF163b17b68bC2,44000000000000000000
0x00F5F36791E90C722D5e9A1b68b7BcfE3e08F4E6,20000000000000000000
0x01068F8968833c0a5c163cB37cC58b9c9cA9e8B9,12000000000000000000
0x011Aa90529966Be4a5d3C3e2647997CE3bC09eB8,44000000000000000000
0x011E26503A93906eBf7E5dFe1AfE4d85DDA2CF5B,30000000000000000000
0x01324509C5c13f76168Dd5B8D1F364d91fF99bE7,42000000000000000000
0x0150364a9c8D0eFc97C4824723FCe4a5e4Fcac8C,32000000000000000000
0x01529330e0f8e2F83B45Aa6c570b6bDeF1809447,37000000000000000000
0x015F1549Fd7584eE1918e5E2dCD967c6EF77e5B2,42000000000000000000
0x0163F076a850318bFa8f4DAAaFa9e5dDBEc7b95b,40000000000000000000
0x0177D1e84f3A1C5Be4298257F0DC9367E6cD6B09,47000000000000000000
0x018E2e7bB7D49bF24BC2A43871E58F5F320A2823,15000000000000000000
0x01A5Ac17Bd92e0aAB477F1973a8Cf3AaA1ED5fE8,350000000000000
0x0333c1662d6b19a9Adf47a6bE4A62fC5F209f4e8,39000000000000000000
0x033f04e0B83F7D0Fd3FcEd44f19A2a3e5A46A4c2,46000000000000000000
0x034F292CfCA8a6bEc9E3425C5E6505B32eE05F91,24000000000000000000
0x036065656845e7A8b9B791aeDc539a54D28f8A2C,43000000000000000000
0x03639f0C96Bd86F3e14Ddd0b48e0876b3c93743B,45000000000000000000
0x03644Eb7d9878A3c1aAE8c30B85f271F28f4Ef47,10000000000000000000
0x038AD670AdF888Ff0F7B5003582a9872CA91FfB9,30000000000000000000
0x038c2DB3e0FA95e4E62493A9E30331Ab56472A16,48000000000000000000
0x0396eF94DfC174D4c6DfE8b282fEA9EAb7b5e27d,20000000000000000000
0x03A02212D1e2f7F0c5f45DDf42b399ea14eA42bc,26000000000000000000
0x03C3c2B68cDc1Abc4eB173e0b0c8E8f0A63502E9,31000000000000000000
0x03e9f236a8e12012351B2302240B738dC6DB75b5,15000000000000000000
0x03eD4E4E5E8EB25fC0498ef7D28dFF53f7BB0d72,41000000000000000000
0x03F437aCcf02EeC9DEd1C138386F17Efe4b4b647,20000000000000000000
0x03fAac9a476E8D6F4525d39202289A0A647C356F,42000000000000000000
0x04032062F8aD1eB8763c58Bc3924F11b9b8A935b,48000000000000000000
0x04039D71b73d47c9469B743F92F7F6dA2e4a01f3,33000000000000000000
0x040d937Ff79B69A2444570743C38A0C891b5A7A4,37000000000000000000
0x0416A5A198ceEe168b65d4CDDbc7B3Ff9e9De3d9,15000000000000000000
0x041ED17F8B9Df0e4589DfF45B5B4a80bD94bE7D1,46000000000000000000
0x043220Af29f50bEa0F7d1E930e49d6Ea2C7643b5,47000000000000000000
0x0433e5d839a50Ffe6a189d7E9A2497C9B6f70Bc5,48000000000000000000
0x043bC7781dcb171Ab3B72EF0555dce4E64Dd5B0B,37000000000000000000
0x0449dF0A9e0125e4b3d33b28cC8aA66061C7638e,27000000000000000000
0x044dF1579B2e8bC5931A172F1692E88b48B09c71,280000000000000
0x045CE07743fB6e4D69e8495fB487b1e8FD31bCe9,30000000000000000000
0x045d8eC32aCe0d8dE781Be67F5E31e69333F915f,18000000000000000000
0x0469d891F7b97393d8cE8FFdA412a6B8e42ED83e,45000000000000000000
0x0477a0C8E06aA00f56e4FDfaB7E6D5a5D0c7D417,25000000000000000000
0x047f59A3e9c4Be35624881a765589Db929F365F2,42000000000000000000
0x0491b3038198607bE24e9C17C5C661217661c5F3,40000000000000000000
0x0497876a6A1e4C64E58f1f6Db9c65A6Cba0d7c7A,46000000000000000000
0x04aD5F7e4bB2E89069f1C0252A4C15A28dBA1ecD,35000000000000000000
0x04c1a16b63dEb2f1aEA4F18F330bd0F01a46a399,47000000000000000000
0x04C2cE9962Ed6F25EeF46916697cA1d6e6312d31,23000000000000000000
0x04c7A8D5f6AA871915Bd4e4A76E5179fC7332D9b,30000000000000000000
0x04Ce92689c8C634cfb3183dA25A1F5dDcBCb7752,49000000000000000000
0x04d04c70C3f5025a197ceE785A2D98A75e8BbBfE,25000000000000000000
0x04D18BFeD9EFBFe83F5cc3E6901716A9b8cA4d82,37000000000000000000
0x04d2F212dB837b4C730a29570d869c0DeDc69E3A,25000000000000000000
0x04D7BbCE9375fc22095Be1541b517Fa37c32bD8a,45000000000000000000
0x04eCdDd476CbC6E7bC027aae01Ed3a53Bb0D8c18,46000000000000000000
0x04f22Fd4eAd11Ee6Eb3DaC3d9f915041d21c24C8,33000000000000000000
0x050AA8c7AD9B7CFE1ef74666606790E79A71dEF2,39000000000000000000
0x0515d08Fc21b0E79C11F93c3f304F32f202e6BCF,25000000000000000000
0x051E15036DDa47049D692374F2b020Da5eAe674b,27000000000000000000
0x0525f2b69A0f11E9eD9052E2079F77ff10615663,22000000000000000000
0x0537E30fA5195b9E9FC90a70B5488492dA7Ef6e1,43000000000000000000
0x0538C10D62B6e60A5Ac6B028F44d786F854d4e29,45000000000000000000
0x053B2774C65a90EB517ea2BcB1E07B341EfF5645,230000000000000
0x053B2774C65a90EB517ea2BcB1E07B341EfF5645,23000000000000000000
0x055a05F2C4A67D337fa17f59A3e9c4Be35624881,34000000000000000000
0x055Df2Dc1bA9Fb3038198607bE24e9C17C5C6612,31000000000000000000
